"Latitude","Longitude","Total.zebras","Date","Population"
0.468911959,36.85907079,12,2021-06-03,2.4
0.47077494,36.85956264,14,2021-06-03,2.8
0.472146249,36.85981476,23,2021-06-03,4.6
0.472146249,36.85981476,3,2021-06-03,0.6
0.476648303,36.85996747,10,2021-06-03,2
0.476648303,36.85996747,7,2021-06-03,1.4
0.478243289,36.8614674,12,2021-06-03,2.4
0.470072435,36.86202857,33,2021-06-03,6.6
0.478855584,36.86247627,17,2021-06-03,3.4
0.04600112,36.85658199,5,2021-06-03,1
0.50163067,36.85006329,1,2021-06-03,0.2
0.497019943,36.83998142,20,2021-06-03,4
0.47880626,36.84758671,20,2021-06-03,4
0.481024214,36.8440771,36,2021-06-03,7.2
0.481024214,36.8440771,8,2021-06-03,1.6
0.483220847,36.8394061,4,2021-06-03,0.8
0.48578593,36.83735492,2,2021-06-03,0.4
0.501811998,36.85066333,5,2021-06-03,1
0.474282615,36.84896837,6,2021-06-03,1.2
0.452792203,36.83933094,6,2021-06-04,1.2
0.477839068,36.82977621,10,2021-06-04,2
0.482575779,36.83464424,8,2021-06-04,1.6
0.482575779,36.83464424,8,2021-06-04,1.6
0.482913156,36.84354778,6,2021-06-04,1.2
0.470724828,36.84041488,1,2021-06-04,0.2
0.47000135,36.83922024,7,2021-06-04,1.4
0.47000135,36.83922024,3,2021-06-04,0.6
0.469732218,36.83658387,8,2021-06-04,1.6
0.450930767,36.84259335,12,2021-06-04,2.4
0.466200303,36.84099728,7,2021-06-04,1.4
0.468424706,36.84108245,3,2021-06-04,0.6
0.47868424,36.84296581,2,2021-06-04,0.4
0.473806177,36.84896161,1,2021-06-04,0.2
0.466227576,36.8506015,18,2021-06-04,3.6
0.462679441,36.84788225,10,2021-06-04,2
0.462679441,36.84788225,1,2021-06-04,0.2
0.462613257,36.84806615,14,2021-06-04,2.8
0.469817537,36.85597013,10,2021-06-07,2
0.463384325,36.84910361,6,2021-06-07,1.2
0.462712747,36.84819748,9,2021-06-07,1.8
0.469371946,36.85240759,8,2021-06-07,1.6
0.46055664,36.83395197,2,2021-06-07,0.4
0.466059446,36.83595656,3,2021-06-07,0.6
0.470322378,36.83921785,8,2021-06-07,1.6
0.482998215,36.82700266,2,2021-06-07,0.4
0.460702646,36.83262721,9,2021-06-07,1.8
0.476369231,36.86187213,5,2021-06-07,1
0.499373496,36.85224601,21,2021-06-07,4.2
0.499373496,36.85224601,16,2021-06-07,3.2
0.500721663,36.85005174,8,2021-06-07,1.6
0.492809851,36.84799289,6,2021-06-07,1.2
0.488408154,36.85745372,6,2021-06-07,1.2
0.486544831,36.84900169,1,2021-06-07,0.2
0.487940379,34.74379547,5,2021-06-07,1
0.480635235,36.84473683,1,2021-06-07,0.2
0.481029653,36.84618201,7,2021-06-07,1.4
0.481563793,36.84589527,8,2021-06-07,1.6
0.447381873,36.84068739,14,2021-06-08,2.8
0.447381873,36.84068739,3,2021-06-08,0.6
0.460881632,36.83240176,9,2021-06-08,1.8
0.478885207,36.84279846,4,2021-06-08,0.8
0.451053681,36.84328489,6,2021-06-08,1.2
0.46289419,36.85023041,7,2021-06-08,1.4
0.469643126,36.85229486,6,2021-06-08,1.2
0.46977749,36.8540047,14,2021-06-08,2.8
0.469912579,36.85792599,4,2021-06-09,0.8
0.469912579,36.85792599,12,2021-06-09,2.4
0.478847062,36.86111532,1,2021-06-09,0.2
0.496834321,36.85184016,3,2021-06-09,0.6
0.497810044,36.84302495,16,2021-06-09,3.2
0.498814734,36.85239056,1,2021-06-09,0.2
0.496590633,36.85310846,16,2021-06-10,3.2
0.496590633,36.85310846,1,2021-06-10,0.2
0.502432442,36.84585911,18,2021-06-10,3.6
0.472681757,36.86037898,9,2021-06-10,1.8
0.468179402,36.85649734,15,2021-06-11,3
0.487034912,36.83918047,8,2021-06-11,1.6
0.493316713,36.83986356,2,2021-06-11,0.4
0.506908785,36.84485621,8,2021-06-11,1.6
0.506908785,36.84485621,4,2021-06-11,0.8
0.501219762,36.85362203,8,2021-06-11,1.6
0.501219762,36.85362203,4,2021-06-11,0.8
0.4996549,36.85290731,10,2021-06-11,2
0.469275261,36.85893522,3,2021-06-12,0.6
0.481999607,36.86130672,8,2021-06-12,1.6
0.494588851,36.85550559,8,2021-06-12,1.6
0.499494302,36.85235698,8,2021-06-12,1.6
0.502229636,36.84822441,8,2021-06-12,1.6
0.494827,36.84305705,19,2021-06-12,3.8
0.494827,36.84305705,6,2021-06-12,1.2
0.491920776,36.83810894,5,2021-06-12,1
0.482766878,36.83849898,3,2021-06-12,0.6
0.463730569,36.8360119,5,2021-06-12,1
0.453275435,36.84151147,5,2021-06-12,1
0.490336834,36.85639804,3,2021-06-14,0.6
0.498643185,36.85111727,2,2021-06-14,0.4
0.499494043,36.85384736,13,2021-06-14,2.6
0.499494043,36.85384736,25,2021-06-14,5
0.484150921,36.84095579,3,2021-06-14,0.6
0.49978708,36.84819117,4,2021-06-14,0.8
0.504463916,36.85544916,14,2021-06-14,2.8
0.504463916,36.85544916,13,2021-06-14,2.6
0.485098745,36.85043008,1,2021-06-14,0.2
0.482810944,36.85981999,6,2021-06-15,1.2
0.496988257,36.85154497,5,2021-06-15,1
0.496988257,36.85154497,47,2021-06-15,9.4
0.495705957,36.84342744,2,2021-06-15,0.4
0.493172361,36.84788146,11,2021-06-15,2.2
0.499025815,36.84902968,13,2021-06-15,2.6
0.49365844,36.85341138,2,2021-06-15,0.4
